query	runtime_s	answers	engine	optimization_time_s	bc_cost_p_star	triple_pattern_count	robustness_threshold	cost_threshold	idp_k	idp_top_t	idp_adaptive_k	phi_shj	phi_nlj	delta	requests	execution_time_s	benchmark	subset
F51	0.844712972641	25	CROP	0.056099891662599995	2188.186	6	0.0	0.0	2	5	False	0.001	0.001	4.0	168	0.7886130809784	WatDiv	General
F51	0.823557853699	25	CROP	0.0489900112152	2188.186	6	0.0	0.0	2	5	False	0.001	0.001	4.0	168	0.7745678424838001	WatDiv	General
F51	0.8111109733580001	25	CROP	0.0615830421448	2188.186	6	0.0	0.0	2	5	False	0.001	0.001	4.0	168	0.7495279312132	WatDiv	General
F52	0.815632820129	25	CROP	0.0531008243561	2188.186	6	0.0	0.0	2	5	False	0.001	0.001	4.0	168	0.7625319957729	WatDiv	General
F52	0.8603270053859999	25	CROP	0.048252105712900006	2188.186	6	0.0	0.0	2	5	False	0.001	0.001	4.0	168	0.8120748996731	WatDiv	General
F52	0.849727869034	25	CROP	0.0475051403046	2188.186	6	0.0	0.0	2	5	False	0.001	0.001	4.0	168	0.8022227287294	WatDiv	General
F53	1.1881330013299998	38	CROP	0.05050802230830001	2184.67333333	6	0.0	0.0	2	5	False	0.001	0.001	4.0	265	1.1376249790216997	WatDiv	General
F53	1.37701511383	38	CROP	0.0836040973663	2184.67333333	6	0.0	0.0	2	5	False	0.001	0.001	4.0	265	1.2934110164637	WatDiv	General
F53	1.3219220638299998	38	CROP	0.0799279212952	2184.67333333	6	0.0	0.0	2	5	False	0.001	0.001	4.0	265	1.2419941425347998	WatDiv	General
F54	1.7751181125599997	57	CROP	0.0509369373322	2192.57833333	6	0.0	0.0	2	5	False	0.001	0.001	4.0	385	1.7241811752277998	WatDiv	General
F54	1.7878000736200002	57	CROP	0.05577802658080001	2192.57833333	6	0.0	0.0	2	5	False	0.001	0.001	4.0	385	1.7320220470392	WatDiv	General
F54	1.7867269516	57	CROP	0.0541558265686	2192.57833333	6	0.0	0.0	2	5	False	0.001	0.001	4.0	385	1.7325711250314	WatDiv	General
F55	0.8463339805600001	25	CROP	0.0491390228271	2188.186	6	0.0	0.0	2	5	False	0.001	0.001	4.0	168	0.7971949577329001	WatDiv	General
F55	0.818190097809	25	CROP	0.05065488815309999	2188.186	6	0.0	0.0	2	5	False	0.001	0.001	4.0	168	0.7675352096558999	WatDiv	General
F55	0.83620095253	25	CROP	0.0769958496094	2188.186	6	0.0	0.0	2	5	False	0.001	0.001	4.0	168	0.7592051029206001	WatDiv	General
L11	0.7051110267640001	2	CROP	0.0359799861908	127.09700000000001	3	0.0	0.0	2	5	False	0.001	0.001	4.0	82	0.6691310405732	WatDiv	General
L11	0.6659069061280001	2	CROP	0.0266618728638	127.09700000000001	3	0.0	0.0	2	5	False	0.001	0.001	4.0	82	0.6392450332642001	WatDiv	General
L11	0.6895229816439999	2	CROP	0.034486055374099996	127.09700000000001	3	0.0	0.0	2	5	False	0.001	0.001	4.0	82	0.6550369262699	WatDiv	General
L12	0.359381914139	0	CROP	0.0215260982513	122.95	3	0.0	0.0	2	5	False	0.001	0.001	4.0	35	0.33785581588770003	WatDiv	General
L12	0.460316896439	0	CROP	0.032411813736	122.95	3	0.0	0.0	2	5	False	0.001	0.001	4.0	35	0.427905082703	WatDiv	General
L12	0.399986028671	0	CROP	0.026515007019000003	122.95	3	0.0	0.0	2	5	False	0.001	0.001	4.0	35	0.373471021652	WatDiv	General
L13	0.662966966629	2	CROP	0.0273149013519	127.09700000000001	3	0.0	0.0	2	5	False	0.001	0.001	4.0	82	0.6356520652771	WatDiv	General
L13	0.74293589592	2	CROP	0.0248069763184	127.09700000000001	3	0.0	0.0	2	5	False	0.001	0.001	4.0	82	0.7181289196016	WatDiv	General
L13	0.749920845032	2	CROP	0.0238709449768	127.09700000000001	3	0.0	0.0	2	5	False	0.001	0.001	4.0	82	0.7260499000552	WatDiv	General
L14	0.411328077316	0	CROP	0.0241250991821	122.95	3	0.0	0.0	2	5	False	0.001	0.001	4.0	35	0.38720297813390003	WatDiv	General
L14	0.35860395431500003	0	CROP	0.0185358524323	122.95	3	0.0	0.0	2	5	False	0.001	0.001	4.0	35	0.34006810188270004	WatDiv	General
L14	0.472227096558	0	CROP	0.0359771251678	122.95	3	0.0	0.0	2	5	False	0.001	0.001	4.0	35	0.4362499713902	WatDiv	General
L15	0.46715402603100004	1	CROP	0.0241401195526	125.589	3	0.0	0.0	2	5	False	0.001	0.001	4.0	46	0.44301390647840005	WatDiv	General
L15	0.505187034607	1	CROP	0.0227749347687	125.589	3	0.0	0.0	2	5	False	0.001	0.001	4.0	46	0.48241209983829997	WatDiv	General
L15	0.447323083878	1	CROP	0.0238959789276	125.589	3	0.0	0.0	2	5	False	0.001	0.001	4.0	46	0.42342710495040004	WatDiv	General
L21	4.18523311615	15	CROP	0.027256011962900003	25.636	3	0.0	0.0	2	5	False	0.001	0.001	4.0	252	4.1579771041871	WatDiv	General
L21	3.5076529979699997	15	CROP	0.0230710506439	25.636	3	0.0	0.0	2	5	False	0.001	0.001	4.0	252	3.4845819473260997	WatDiv	General
L21	3.5703129768400004	15	CROP	0.019611835479700003	25.636	3	0.0	0.0	2	5	False	0.001	0.001	4.0	252	3.5507011413603005	WatDiv	General
L22	3.8365161418900002	15	CROP	0.0248670578003	25.636	3	0.0	0.0	2	5	False	0.001	0.001	4.0	252	3.8116490840897	WatDiv	General
L22	4.05355906487	15	CROP	0.0221891403198	25.636	3	0.0	0.0	2	5	False	0.001	0.001	4.0	252	4.0313699245502	WatDiv	General
L22	4.05131697655	15	CROP	0.0249140262604	25.636	3	0.0	0.0	2	5	False	0.001	0.001	4.0	252	4.0264029502896	WatDiv	General
L23	22.6332421303	48	CROP	0.0340261459351	25.636	3	0.0	0.0	2	5	False	0.001	0.001	4.0	1338	22.5992159843649	WatDiv	General
L23	21.8725099564	48	CROP	0.0209500789642	25.636	3	0.0	0.0	2	5	False	0.001	0.001	4.0	1338	21.851559877435797	WatDiv	General
L23	21.9914598465	48	CROP	0.020061016082799997	25.636	3	0.0	0.0	2	5	False	0.001	0.001	4.0	1338	21.9713988304172	WatDiv	General
L24	22.391385078400003	48	CROP	0.0303521156311	25.636	3	0.0	0.0	2	5	False	0.001	0.001	4.0	1338	22.361032962768903	WatDiv	General
L24	21.6178278923	48	CROP	0.023032903671300002	25.636	3	0.0	0.0	2	5	False	0.001	0.001	4.0	1338	21.5947949886287	WatDiv	General
L24	22.5759789944	48	CROP	0.023236989975	25.636	3	0.0	0.0	2	5	False	0.001	0.001	4.0	1338	22.552742004425	WatDiv	General
L25	95.53342795370001	236	CROP	0.0210149288177	25.636	3	0.0	0.0	2	5	False	0.001	0.001	4.0	5343	95.5124130248823	WatDiv	General
L25	97.4555139542	236	CROP	0.027621030807500002	25.636	3	0.0	0.0	2	5	False	0.001	0.001	4.0	5343	97.4278929233925	WatDiv	General
