query	runtime_s	answers	engine	optimization_time_s	bc_cost_p_star	triple_pattern_count	robustness_threshold	cost_threshold	idp_k	idp_top_t	idp_adaptive_k	phi_shj	phi_nlj	delta	requests	execution_time_s	benchmark	subset
F51	0.897814035416	25	CROP	0.0916481018066	8405.254	6	0.0	0.0	3	5	False	0.001	0.001	1.0	282	0.8061659336094	WatDiv	General
F51	0.9504349231720001	25	CROP	0.130253076553	8405.254	6	0.0	0.0	3	5	False	0.001	0.001	1.0	282	0.8201818466190001	WatDiv	General
F52	0.879565000534	25	CROP	0.0911550521851	8405.254	6	0.0	0.0	3	5	False	0.001	0.001	1.0	282	0.7884099483489	WatDiv	General
F52	0.936328172684	25	CROP	0.116783857346	8405.254	6	0.0	0.0	3	5	False	0.001	0.001	1.0	282	0.819544315338	WatDiv	General
F52	0.9142270088200002	25	CROP	0.099415063858	8405.254	6	0.0	0.0	3	5	False	0.001	0.001	1.0	282	0.8148119449620002	WatDiv	General
F53	1.31460404396	38	CROP	0.0846350193024	8277.48366667	6	0.0	0.0	3	5	False	0.001	0.001	1.0	399	1.2299690246576	WatDiv	General
F53	1.34071207047	38	CROP	0.08906507492070001	8277.48366667	6	0.0	0.0	3	5	False	0.001	0.001	1.0	399	1.2516469955493	WatDiv	General
F53	1.37808609009	38	CROP	0.13521695137	8277.48366667	6	0.0	0.0	3	5	False	0.001	0.001	1.0	399	1.2428691387200002	WatDiv	General
F54	1.8666479587599998	57	CROP	0.13452911377000001	8259.076	6	0.0	0.0	3	5	False	0.001	0.001	1.0	561	1.7321188449899998	WatDiv	General
F54	1.80377316475	57	CROP	0.08966612815860002	8259.076	6	0.0	0.0	3	5	False	0.001	0.001	1.0	561	1.7141070365914	WatDiv	General
F54	1.8103330135299998	57	CROP	0.0985329151154	8259.076	6	0.0	0.0	3	5	False	0.001	0.001	1.0	561	1.7118000984145998	WatDiv	General
F55	0.91626906395	25	CROP	0.0970339775085	8405.254	6	0.0	0.0	3	5	False	0.001	0.001	1.0	282	0.8192350864415	WatDiv	General
F55	0.9201800823209999	25	CROP	0.0880701541901	8405.254	6	0.0	0.0	3	5	False	0.001	0.001	1.0	282	0.8321099281308999	WatDiv	General
F55	0.912932157516	25	CROP	0.08853507041930002	8405.254	6	0.0	0.0	3	5	False	0.001	0.001	1.0	282	0.8243970870967	WatDiv	General
L11	0.6913499832150001	2	CROP	0.0324549674988	166.472	3	0.0	0.0	3	5	False	0.001	0.001	1.0	82	0.6588950157162001	WatDiv	General
L11	0.658650875092	2	CROP	0.0215010643005	166.472	3	0.0	0.0	3	5	False	0.001	0.001	1.0	82	0.6371498107915	WatDiv	General
L11	0.7016050815579999	2	CROP	0.0292720794678	166.472	3	0.0	0.0	3	5	False	0.001	0.001	1.0	82	0.6723330020902	WatDiv	General
L12	0.393895149231	0	CROP	0.03271484375	149.95	3	0.0	0.0	3	5	False	0.001	0.001	1.0	35	0.361180305481	WatDiv	General
