query,runtime_s,optimization_time_s,execution_time_s,requests,answers,timeout_reached,bushy_plan,BJ_count,HJ_count,bc_cost_p_star,ac_cost_p_star,delta,idp_k,idp_top_t,r_star_selected,idp_adaptive_k,robustness_threshold,cost_threshold,dataset,benchmark,triple_pattern_count
L34,0.45348119735717773,0.021603107452392578,0.43187808990478516,33,27,False,False,1,0,116.44200000000001,116.44200000000001,6.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,2
L34,0.4677290916442871,0.02602100372314453,0.4417080879211426,33,27,False,False,1,0,115.72771428571428,115.72771428571428,7.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,2
L42,0.40720295906066895,0.0244901180267334,0.38271284103393555,34,60,False,False,0,1,31.555000000000003,31.555000000000003,0.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,2
L42,0.35512208938598633,0.01918792724609375,0.3359341621398926,34,60,False,False,0,1,31.555000000000003,31.555000000000003,1.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,2
L42,0.35343098640441895,0.024114131927490234,0.3293168544769287,34,60,False,False,0,1,31.555000000000003,31.555000000000003,2.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,2
L42,0.3413691520690918,0.023103952407836914,0.3182651996612549,34,60,False,False,0,1,31.555000000000003,31.555000000000003,3.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,2
L42,0.3713951110839844,0.02152109146118164,0.34987401962280273,34,60,False,False,0,1,31.555000000000003,31.555000000000003,4.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,2
L42,0.3589639663696289,0.02422189712524414,0.33474206924438477,34,60,False,False,0,1,31.555000000000003,31.555000000000003,5.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,2
L42,0.36344289779663086,0.023504018783569336,0.3399388790130615,34,60,False,False,0,1,31.555000000000003,31.555000000000003,6.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,2
L42,0.3404240608215332,0.016311168670654297,0.3241128921508789,34,60,False,False,0,1,31.555000000000003,31.555000000000003,7.0,3,5,0,False,0.0,0.0,WatDiv,WatDiv,2
