query,runtime_s,optimization_time_s,execution_time_s,requests,answers,timeout_reached,bushy_plan,BJ_count,HJ_count,bc_cost_p_star,ac_cost_p_star,delta,idp_k,idp_top_t,r_star_selected,idp_adaptive_k,robustness_threshold,cost_threshold,dataset,benchmark,triple_pattern_count
F23,1.064620018005371,0.10690903663635254,0.9577109813690186,237,7,False,False,4,3,554.1035,554.1035,4.0,4,5,0,True,0.05,0.5,WatDiv,WatDiv,8
F23,0.9950158596038818,0.11239910125732422,0.8826167583465576,237,7,False,False,4,3,554.1035,554.1035,4.0,4,5,0,True,0.05,0.7,WatDiv,WatDiv,8
F23,1.0016119480133057,0.1279308795928955,0.8736810684204102,237,7,False,False,4,3,554.1035,554.1035,4.0,4,5,0,True,0.05,0.9,WatDiv,WatDiv,8
F23,1.031390905380249,0.10816502571105957,0.9232258796691895,237,7,False,False,4,3,554.1035,554.1035,4.0,4,5,0,True,0.1,0.1,WatDiv,WatDiv,8
F23,0.9905710220336914,0.1057898998260498,0.8847811222076416,237,7,False,False,4,3,554.1035,554.1035,4.0,4,5,0,True,0.1,0.3,WatDiv,WatDiv,8
F23,1.06911301612854,0.1501600742340088,0.9189529418945312,237,7,False,False,4,3,554.1035,554.1035,4.0,4,5,0,True,0.1,0.5,WatDiv,WatDiv,8
F23,0.9894998073577881,0.10842394828796387,0.8810758590698242,237,7,False,False,4,3,554.1035,554.1035,4.0,4,5,0,True,0.1,0.7,WatDiv,WatDiv,8
F23,0.98573899269104,0.10667896270751953,0.8790600299835205,237,7,False,False,4,3,554.1035,554.1035,4.0,4,5,0,True,0.1,0.9,WatDiv,WatDiv,8
F23,1.0055968761444092,0.10895299911499023,0.896643877029419,237,7,False,False,4,3,554.1035,554.1035,4.0,4,5,0,True,0.15,0.1,WatDiv,WatDiv,8
F23,1.0449318885803223,0.16488289833068848,0.8800489902496338,237,7,False,False,4,3,554.1035,554.1035,4.0,4,5,0,True,0.15,0.3,WatDiv,WatDiv,8
F23,1.0810298919677734,0.14451098442077637,0.9365189075469971,237,7,False,False,4,3,554.1035,554.1035,4.0,4,5,0,True,0.15,0.5,WatDiv,WatDiv,8
F23,1.0620901584625244,0.14653396606445312,0.9155561923980713,237,7,False,False,4,3,554.1035,554.1035,4.0,4,5,0,True,0.15,0.7,WatDiv,WatDiv,8
F23,1.0646848678588867,0.17132806777954102,0.8933568000793457,237,7,False,False,4,3,554.1035,554.1035,4.0,4,5,0,True,0.15,0.9,WatDiv,WatDiv,8
F23,0.985713005065918,0.11023497581481934,0.8754780292510986,237,7,False,False,4,3,554.1035,554.1035,4.0,4,5,0,True,0.2,0.1,WatDiv,WatDiv,8
F23,1.0641732215881348,0.15114784240722656,0.9130253791809082,237,7,False,False,4,3,554.1035,554.1035,4.0,4,5,0,True,0.2,0.3,WatDiv,WatDiv,8
F23,0.9921209812164307,0.11027789115905762,0.881843090057373,237,7,False,False,4,3,554.1035,554.1035,4.0,4,5,0,True,0.2,0.5,WatDiv,WatDiv,8
F23,1.0139539241790771,0.09687399864196777,0.9170799255371094,237,7,False,False,4,3,554.1035,554.1035,4.0,4,5,0,True,0.2,0.7,WatDiv,WatDiv,8
F23,0.9914259910583496,0.1000070571899414,0.8914189338684082,237,7,False,False,4,3,554.1035,554.1035,4.0,4,5,0,True,0.2,0.9,WatDiv,WatDiv,8
F23,1.010469913482666,0.11063003540039062,0.8998398780822754,237,7,False,False,4,3,554.1035,554.1035,4.0,4,5,0,True,0.25,0.1,WatDiv,WatDiv,8
F23,1.089020013809204,0.15774202346801758,0.9312779903411865,237,7,False,False,4,3,554.1035,554.1035,4.0,4,5,0,True,0.25,0.3,WatDiv,WatDiv,8
F23,0.9626569747924805,0.08508777618408203,0.8775691986083984,237,7,False,False,4,3,554.1035,554.1035,4.0,4,5,0,True,0.25,0.5,WatDiv,WatDiv,8
F23,0.9908719062805176,0.10380291938781738,0.8870689868927002,237,7,False,False,4,3,554.1035,554.1035,4.0,4,5,0,True,0.25,0.7,WatDiv,WatDiv,8
F23,1.0151419639587402,0.10604286193847656,0.9090991020202637,237,7,False,False,4,3,554.1035,554.1035,4.0,4,5,0,True,0.25,0.9,WatDiv,WatDiv,8
F32,0.5320730209350586,0.12176704406738281,0.4103059768676758,85,5,False,False,4,1,468.4855,1354.2835,4.0,4,5,0,True,0.05,0.1,WatDiv,WatDiv,6
F32,0.4687070846557617,0.08791017532348633,0.3807969093322754,85,5,False,False,4,1,468.4855,1354.2835,4.0,4,5,0,True,0.05,0.3,WatDiv,WatDiv,6
F32,0.4564969539642334,0.0873100757598877,0.3691868782043457,85,5,False,False,4,1,468.4855,1354.2835,4.0,4,5,0,True,0.05,0.5,WatDiv,WatDiv,6
F32,0.5100369453430176,0.11562418937683105,0.3944127559661865,85,5,False,False,4,1,468.4855,1354.2835,4.0,4,5,0,True,0.05,0.7,WatDiv,WatDiv,6
F32,0.5217041969299316,0.12251996994018555,0.3991842269897461,85,5,False,False,4,1,468.4855,1354.2835,4.0,4,5,0,True,0.05,0.9,WatDiv,WatDiv,6
F32,0.41953110694885254,0.07641315460205078,0.34311795234680176,85,5,False,False,4,1,468.4855,1354.2835,4.0,4,5,0,True,0.1,0.1,WatDiv,WatDiv,6
F32,0.449268102645874,0.08046698570251465,0.3688011169433594,85,5,False,False,4,1,468.4855,1354.2835,4.0,4,5,0,True,0.1,0.3,WatDiv,WatDiv,6
F32,0.4390580654144287,0.09992194175720215,0.33913612365722656,85,5,False,False,4,1,468.4855,1354.2835,4.0,4,5,0,True,0.1,0.5,WatDiv,WatDiv,6
F32,0.45000505447387695,0.08710312843322754,0.3629019260406494,85,5,False,False,4,1,468.4855,1354.2835,4.0,4,5,0,True,0.1,0.7,WatDiv,WatDiv,6
F32,0.4235858917236328,0.06910490989685059,0.3544809818267822,85,5,False,False,4,1,468.4855,1354.2835,4.0,4,5,0,True,0.1,0.9,WatDiv,WatDiv,6
F32,0.44594788551330566,0.08139395713806152,0.36455392837524414,85,5,False,False,4,1,468.4855,1354.2835,4.0,4,5,0,True,0.15,0.1,WatDiv,WatDiv,6
F32,0.4583711624145508,0.11543893814086914,0.34293222427368164,85,5,False,False,4,1,468.4855,1354.2835,4.0,4,5,0,True,0.15,0.3,WatDiv,WatDiv,6
F32,0.4473409652709961,0.08325600624084473,0.36408495903015137,85,5,False,False,4,1,468.4855,1354.2835,4.0,4,5,0,True,0.15,0.5,WatDiv,WatDiv,6
F32,0.4909491539001465,0.12796592712402344,0.36298322677612305,85,5,False,False,4,1,468.4855,1354.2835,4.0,4,5,0,True,0.15,0.7,WatDiv,WatDiv,6
F32,0.3985459804534912,0.07001090049743652,0.3285350799560547,85,5,False,False,4,1,468.4855,1354.2835,4.0,4,5,0,True,0.15,0.9,WatDiv,WatDiv,6
F32,0.44916605949401855,0.08856201171875,0.36060404777526855,85,5,False,False,4,1,468.4855,1354.2835,4.0,4,5,0,True,0.2,0.1,WatDiv,WatDiv,6
F32,0.46604490280151367,0.0839231014251709,0.3821218013763428,85,5,False,False,4,1,468.4855,1354.2835,4.0,4,5,0,True,0.2,0.3,WatDiv,WatDiv,6
F32,0.42093515396118164,0.07331609725952148,0.34761905670166016,85,5,False,False,4,1,468.4855,1354.2835,4.0,4,5,0,True,0.2,0.5,WatDiv,WatDiv,6
F32,0.4458961486816406,0.08135604858398438,0.36454010009765625,85,5,False,False,4,1,468.4855,1354.2835,4.0,4,5,0,True,0.2,0.7,WatDiv,WatDiv,6
F32,0.43194103240966797,0.07736706733703613,0.35457396507263184,85,5,False,False,4,1,468.4855,1354.2835,4.0,4,5,0,True,0.2,0.9,WatDiv,WatDiv,6
