query,runtime_s,requests,answers,switch_percentage_PHJ,switch_percentage_PBJ,timeout_reached,planner,bind_join_only,hash_join_only,poly_hash_join,poly_bind_join,dataset,benchmark
F31,1.1036009788513184,170,26,0.0,0.2,False,crop,False,,False,True,watdiv,WatDiv
F31,1.0885438919067383,170,26,0.0,0.2,False,ldp nlj,True,,False,True,watdiv,WatDiv
F31,0.7473170757293701,144,26,0.0,0.0,False,ldp,False,,False,True,watdiv,WatDiv
F31,18.02957797050476,1989,26,0.0,0.0,False,nlde,False,,False,True,watdiv,WatDiv
F31,1.140089988708496,169,26,0.0,0.0,False,crop,False,,False,False,watdiv,WatDiv
F31,1.1706230640411377,169,26,0.0,0.0,False,ldp nlj,True,,False,False,watdiv,WatDiv
F31,0.8188741207122803,144,26,0.0,0.0,False,ldp,False,,False,False,watdiv,WatDiv
F31,18.015437841415405,1989,26,0.0,0.0,False,nlde,False,,False,False,watdiv,WatDiv
F32,0.5143861770629883,85,5,0.0,0.0,False,crop,False,,True,True,watdiv,WatDiv
F32,0.5421409606933594,109,5,0.5,0.0,False,ldp,False,,True,True,watdiv,WatDiv
F32,18.183017015457153,2012,5,0.0,0.0,False,nlde,False,,True,True,watdiv,WatDiv
F32,0.41431117057800293,85,5,0.0,0.0,False,crop,False,,True,False,watdiv,WatDiv
F32,0.5537910461425781,111,5,0.5,0.0,False,ldp,False,,True,False,watdiv,WatDiv
F32,18.25164818763733,2012,5,0.0,0.0,False,nlde,False,,True,False,watdiv,WatDiv
F32,0.43497514724731445,85,5,0.0,0.0,False,crop,False,,False,True,watdiv,WatDiv
F32,0.6342978477478027,111,5,0.0,0.2,False,ldp nlj,True,,False,True,watdiv,WatDiv
F32,1.056161880493164,138,5,0.0,0.0,False,ldp,False,,False,True,watdiv,WatDiv
F32,18.201495885849,2012,5,0.0,0.0,False,nlde,False,,False,True,watdiv,WatDiv
F32,0.4760439395904541,85,5,0.0,0.0,False,crop,False,,False,False,watdiv,WatDiv
F32,3.0580520629882812,333,5,0.0,0.0,False,ldp nlj,True,,False,False,watdiv,WatDiv
F32,1.0306510925292969,138,5,0.0,0.0,False,ldp,False,,False,False,watdiv,WatDiv
F32,18.242419004440308,2012,5,0.0,0.0,False,nlde,False,,False,False,watdiv,WatDiv
F33,1.0383501052856445,170,26,0.0,0.2,False,crop,False,,True,True,watdiv,WatDiv
F33,0.8075580596923828,144,26,0.0,0.0,False,ldp,False,,True,True,watdiv,WatDiv
F33,18.23074507713318,1989,26,0.0,0.0,False,nlde,False,,True,True,watdiv,WatDiv
F33,1.2063140869140625,169,26,0.0,0.0,False,crop,False,,True,False,watdiv,WatDiv
F33,0.8388659954071045,144,26,0.0,0.0,False,ldp,False,,True,False,watdiv,WatDiv
F33,18.177173852920532,1989,26,0.0,0.0,False,nlde,False,,True,False,watdiv,WatDiv
F33,1.0286870002746582,170,26,0.0,0.2,False,crop,False,,False,True,watdiv,WatDiv
F33,1.0726771354675293,170,26,0.0,0.2,False,ldp nlj,True,,False,True,watdiv,WatDiv
F33,0.8171679973602295,144,26,0.0,0.0,False,ldp,False,,False,True,watdiv,WatDiv
F33,17.978525161743164,1989,26,0.0,0.0,False,nlde,False,,False,True,watdiv,WatDiv
F33,1.1212031841278076,169,26,0.0,0.0,False,crop,False,,False,False,watdiv,WatDiv
F33,1.1290900707244873,169,26,0.0,0.0,False,ldp nlj,True,,False,False,watdiv,WatDiv
F33,0.7704129219055176,144,26,0.0,0.0,False,ldp,False,,False,False,watdiv,WatDiv
F33,18.05627703666687,1989,26,0.0,0.0,False,nlde,False,,False,False,watdiv,WatDiv
F34,0.4857950210571289,85,5,0.0,0.0,False,crop,False,,True,True,watdiv,WatDiv
F34,0.5780630111694336,107,5,0.5,0.0,False,ldp,False,,True,True,watdiv,WatDiv
F34,18.139830112457275,2012,5,0.0,0.0,False,nlde,False,,True,True,watdiv,WatDiv
F34,0.45701098442077637,85,5,0.0,0.0,False,crop,False,,True,False,watdiv,WatDiv
F34,0.5953140258789062,113,5,0.5,0.0,False,ldp,False,,True,False,watdiv,WatDiv
F34,18.041783094406128,2012,5,0.0,0.0,False,nlde,False,,True,False,watdiv,WatDiv
F34,0.47341299057006836,85,5,0.0,0.0,False,crop,False,,False,True,watdiv,WatDiv
F34,0.7456221580505371,111,5,0.0,0.2,False,ldp nlj,True,,False,True,watdiv,WatDiv
F34,0.9947161674499512,138,5,0.0,0.0,False,ldp,False,,False,True,watdiv,WatDiv
F34,17.859275102615356,2012,5,0.0,0.0,False,nlde,False,,False,True,watdiv,WatDiv
F34,0.4548029899597168,85,5,0.0,0.0,False,crop,False,,False,False,watdiv,WatDiv
F34,3.0565409660339355,333,5,0.0,0.0,False,ldp nlj,True,,False,False,watdiv,WatDiv
F34,1.1021289825439453,138,5,0.0,0.0,False,ldp,False,,False,False,watdiv,WatDiv
F34,18.16842007637024,2012,5,0.0,0.0,False,nlde,False,,False,False,watdiv,WatDiv
F35,0.47614407539367676,100,5,0.0,0.0,False,crop,False,,True,True,watdiv,WatDiv
F35,0.6226098537445068,121,5,0.5,0.0,False,ldp,False,,True,True,watdiv,WatDiv
F35,18.045608043670654,2024,5,0.0,0.0,False,nlde,False,,True,True,watdiv,WatDiv
F35,0.5498700141906738,100,5,0.0,0.0,False,crop,False,,True,False,watdiv,WatDiv
F35,0.6302580833435059,125,5,0.5,0.0,False,ldp,False,,True,False,watdiv,WatDiv
F35,18.189226865768433,2024,5,0.0,0.0,False,nlde,False,,True,False,watdiv,WatDiv
F35,0.5082869529724121,100,5,0.0,0.0,False,crop,False,,False,True,watdiv,WatDiv
F35,0.7817280292510986,126,5,0.0,0.2,False,ldp nlj,True,,False,True,watdiv,WatDiv
F35,1.065004825592041,146,5,0.0,0.0,False,ldp,False,,False,True,watdiv,WatDiv
F35,17.89868402481079,2024,5,0.0,0.0,False,nlde,False,,False,True,watdiv,WatDiv
F35,0.4984419345855713,100,5,0.0,0.0,False,crop,False,,False,False,watdiv,WatDiv
F35,3.213373899459839,370,5,0.0,0.0,False,ldp nlj,True,,False,False,watdiv,WatDiv
F35,0.99788498878479,146,5,0.0,0.0,False,ldp,False,,False,False,watdiv,WatDiv
F35,17.9287109375,2024,5,0.0,0.0,False,nlde,False,,False,False,watdiv,WatDiv
F41,0.9591190814971924,244,20,0.0,0.0,False,crop,False,,True,True,watdiv,WatDiv
F41,1.013597011566162,311,20,0.3333333333333333,0.0,False,ldp,False,,True,True,watdiv,WatDiv
F41,0.8867709636688232,255,20,0.0,0.0,False,nlde,False,,True,True,watdiv,WatDiv
F41,0.981194019317627,244,20,0.0,0.0,False,crop,False,,True,False,watdiv,WatDiv
F41,1.0583758354187012,315,20,0.3333333333333333,0.0,False,ldp,False,,True,False,watdiv,WatDiv
F41,0.7835729122161865,255,20,0.0,0.0,False,nlde,False,,True,False,watdiv,WatDiv
F41,0.8945419788360596,244,20,0.0,0.0,False,crop,False,,False,True,watdiv,WatDiv
F41,0.8970959186553955,175,20,0.0,0.25,False,ldp nlj,True,,False,True,watdiv,WatDiv
F41,2.3301849365234375,430,20,0.0,0.0,False,ldp,False,,False,True,watdiv,WatDiv
F41,0.7803981304168701,255,20,0.0,0.0,False,nlde,False,,False,True,watdiv,WatDiv
F41,0.9789068698883057,244,20,0.0,0.0,False,crop,False,,False,False,watdiv,WatDiv
F41,6.80992317199707,735,20,0.0,0.0,False,ldp nlj,True,,False,False,watdiv,WatDiv
F41,2.2499141693115234,430,20,0.0,0.0,False,ldp,False,,False,False,watdiv,WatDiv
F41,0.8208901882171631,255,20,0.0,0.0,False,nlde,False,,False,False,watdiv,WatDiv
