approach	dief_t	dief_t_relative	t_max	t_min	test	dataset	rank
CROP	187.846885323533	0.7794177988302746	4.22823214531	1.77922606468	example/watdiv//F54.rq	watdiv	1.0
comunica	118.65496442797999	0.4838370218218674	4.22823214531	1.77922606468	example/watdiv//F54.rq	watdiv	3.0
nLDE	42.182565093026504	0.43592939765374866	3.8705868721	0.893908977509	example/watdiv//F55.rq	watdiv	3.0
CROP	81.993003487566	0.8473444074188203	3.8705868721	0.893908977509	example/watdiv//F55.rq	watdiv	1.0
comunica	58.7821718025	0.6074755456462088	3.8705868721	0.893908977509	example/watdiv//F55.rq	watdiv	2.0
nLDE	1.7105859909059997	0.6936682850389294	1.2329999999999999	0.580956935883	example/watdiv//L11.rq	watdiv	1.0
CROP	1.6750145349509997	0.67924352593309	1.2329999999999999	0.580956935883	example/watdiv//L11.rq	watdiv	2.0
comunica	0.31499999999999995	0.12773722627737225	1.2329999999999999	0.580956935883	example/watdiv//L11.rq	watdiv	3.0
nLDE	1.6425547351839997	0.6776215904224422	1.212	0.548695802689	example/watdiv//L13.rq	watdiv	2.0
CROP	1.684043025016	0.6947372215412541	1.212	0.548695802689	example/watdiv//L13.rq	watdiv	1.0
comunica	0.30449999999999977	0.12561881188118804	1.212	0.548695802689	example/watdiv//L13.rq	watdiv	3.0
nLDE	0.7925689716340001	0.8786795694390245	0.902	0.107649087906	example/watdiv//L15.rq	watdiv	2.0
CROP	0.794350912094	0.8806551131862528	0.902	0.107649087906	example/watdiv//L15.rq	watdiv	1.0
comunica	0.0	0.0	0.902	0.107649087906	example/watdiv//L15.rq	watdiv	3.0
nLDE	19.14153802387098	0.3621055124300391	3.5241179466199988	0.387151956558	example/watdiv//L21.rq	watdiv	3.0
CROP	49.06746232502433	0.9282220982810787	3.5241179466199988	0.387151956558	example/watdiv//L21.rq	watdiv	1.0
comunica	31.69276919929998	0.5995404557840578	3.5241179466199988	0.387151956558	example/watdiv//L21.rq	watdiv	2.0
nLDE	18.177459716845497	0.3502648551550398	3.45975518227	0.401537895203	example/watdiv//L22.rq	watdiv	3.0
CROP	47.67306733137	0.9186212091090011	3.45975518227	0.401537895203	example/watdiv//L22.rq	watdiv	1.0
comunica	30.675327734049997	0.5910886005508909	3.45975518227	0.401537895203	example/watdiv//L22.rq	watdiv	2.0
nLDE	597.3776307088879	0.5701496693758955	21.8282461166	0.460726976395	example/watdiv//L23.rq	watdiv	3.0
CROP	1034.9245873671298	0.9877536100843742	21.8282461166	0.460726976395	example/watdiv//L23.rq	watdiv	1.0
comunica	925.8363135967999	0.8836374865041623	21.8282461166	0.460726976395	example/watdiv//L23.rq	watdiv	2.0
nLDE	619.095335603071	0.5918997865867093	21.7905459404	0.442170858383	example/watdiv//L24.rq	watdiv	3.0
CROP	1033.0342030525576	0.9876551948626037	21.7905459404	0.442170858383	example/watdiv//L24.rq	watdiv	1.0
comunica	928.4617051392001	0.8876763456641018	21.7905459404	0.442170858383	example/watdiv//L24.rq	watdiv	2.0
nLDE	11447.452810406938	0.5068634718795175	95.6986618042	1.13598895073	example/watdiv//L25.rq	watdiv	3.0
CROP	22385.598403215594	0.9911761432586409	95.6986618042	1.13598895073	example/watdiv//L25.rq	watdiv	1.0
comunica	21178.8146857912	0.9377428952730871	95.6986618042	1.13598895073	example/watdiv//L25.rq	watdiv	2.0
nLDE	23.90427600669975	0.6545888604715414	0.961	0.487971067429	example/watdiv//L31.rq	watdiv	2.0
CROP	26.544080727578198	0.7268766287194862	0.961	0.487971067429	example/watdiv//L31.rq	watdiv	1.0
comunica	2.1584999999999983	0.05910783723095455	0.961	0.487971067429	example/watdiv//L31.rq	watdiv	3.0
nLDE	30.4847095603962	0.7383609746505243	1.0070000000000001	0.308286905289	example/watdiv//L32.rq	watdiv	1.0
CROP	29.503807603832104	0.7146028436028798	1.0070000000000001	0.308286905289	example/watdiv//L32.rq	watdiv	2.0
comunica	0.6905000000000046	0.01672439266597245	1.0070000000000001	0.308286905289	example/watdiv//L32.rq	watdiv	3.0
nLDE	13.7250503482805	0.6960317636939246	0.9390000000000001	0.398880004883	example/watdiv//L33.rq	watdiv	2.0
CROP	13.8376871528645	0.701743858860211	0.9390000000000001	0.398880004883	example/watdiv//L33.rq	watdiv	1.0
